순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"601,000","-3,000","-0.5","717,531","432,454,834,000","604,000","610,000","595,000","88,526,901,537,000","10.64","147,299,337","70,849,126","48.10",1872
2,005490,POSCO,"380,000","-6,000","-1.6","308,228","117,093,924,900","381,500","385,000","378,000","33,130,997,300,000","3.98","87,186,835","51,660,068","59.25",
3,060000,국민은행,"87,900","-1,100","-1.2","919,510","81,021,635,464","89,100","89,200","87,000","29,567,724,296,400","3.55","336,379,116","284,699,882","84.64",
4,015760,한국전력,"39,500","-50","-0.1","1,287,440","50,563,627,100","39,550","39,650","39,000","25,341,924,624,000","3.05","641,567,712","194,389,795","30.30",
5,055550,신한지주,"55,200","-800","-1.4","1,078,209","59,838,157,300","56,000","56,600","54,800","21,062,532,292,800","2.53","381,567,614","233,769,656","61.27",
6,053000,우리금융,"23,700","-300","-1.2","1,183,030","28,107,587,100","24,000","24,000","23,600","19,102,563,558,000","2.30","806,015,340","82,331,968","10.21",
7,009540,현대중공업,"210,000","-1,000","-0.5","230,504","48,263,414,000","207,500","214,500","206,000","15,960,000,000,000","1.92","76,000,000","17,047,499","22.43",
8,017670,SK텔레콤,"195,500","-1,000","-0.5","161,680","31,598,628,000","196,500","197,500","194,500","15,873,370,500,500","1.91","81,193,711","39,784,918","49.00",
9,000660,하이닉스,"34,100","0","0.0","4,626,449","158,093,653,450","34,350","34,650","33,850","15,656,286,214,800","1.88","459,128,628","95,120,165","20.72",
10,005380,현대차,"65,300","-400","-0.6","1,231,740","80,491,523,100","65,400","65,800","65,100","14,331,146,451,500","1.72","219,466,255","91,842,454","41.85",
11,034220,LG필립스LCD,"35,700","50","0.1","2,146,436","77,680,887,000","36,500","36,900","35,600","12,774,020,490,000","1.54","357,815,700","180,298,703","50.39",
12,030200,KT,"41,600","350","0.8","765,255","31,547,856,200","41,150","41,600","41,000","11,632,499,840,000","1.40","279,627,400","137,017,426","49.00",
13,003600,SK,"90,000","-1,500","-1.6","897,074","80,639,689,500","91,600","91,700","89,000","11,582,555,760,000","1.39","128,695,064","59,203,445","46.00",
14,004170,신세계,"565,000","-7,000","-1.2","58,796","33,276,047,680","570,000","571,000","564,000","10,656,182,500,000","1.28","18,860,500","8,112,505","43.01",
15,005935,삼성전자(1우B),"463,000","-8,500","-1.8","32,940","15,364,944,500","471,500","473,500","463,000","10,571,876,701,000","1.27","22,833,427","18,200,617","79.71",
16,086790,하나금융지주,"49,150","-850","-1.7","415,439","20,411,019,050","49,800","49,800","48,900","10,412,505,795,950","1.25","211,851,593","171,261,955","80.84",
17,023530,롯데쇼핑,"346,500","14,500","4.4","112,434","38,375,120,000","333,000","347,000","332,000","10,063,529,091,000","1.21","29,043,374","6,242,235","21.49",
18,004940,외환은행,"15,200","-200","-1.3","749,956","11,405,770,700","15,250","15,300","15,150","9,802,583,755,200","1.18","644,906,826","521,774,949","80.91",
19,066570,LG전자,"64,500","-800","-1.2","921,052","59,509,393,700","65,300","65,400","64,100","9,329,784,003,000","1.12","144,647,814","52,694,369","36.43",
20,033780,KT&G,"62,500","-1,100","-1.7","285,423","17,845,977,500","63,600","63,600","62,200","9,215,156,062,500","1.11","147,442,497","79,509,908","53.93",
21,000810,삼성화재,"159,000","-1,000","-0.6","203,361","32,093,106,500","160,000","160,000","156,500","7,771,099,083,000","0.93","48,874,837","26,432,481","54.08",
22,001740,SK네트웍스,"32,200","-1,300","-3.9","198,429","6,451,365,500","33,100","33,150","32,200","7,707,898,699,200","0.93","239,375,736","2,349,925","0.98",
23,024110,기업은행,"18,800","-300","-1.6","1,010,506","19,070,947,300","19,100","19,100","18,700","7,616,849,798,000","0.92","405,151,585","86,225,719","21.28",
24,047040,대우건설,"21,800","-200","-0.9","1,446,535","31,672,967,400","22,050","22,450","21,500","7,396,531,897,200","0.89","339,290,454","41,513,816","12.24",
25,010950,S-Oil,"64,600","-500","-0.8","268,008","17,276,159,500","64,900","65,200","64,200","7,272,848,363,200","0.87","112,582,792","54,898,518","48.76",
26,034020,두산중공업,"69,600","3,100","4.7","877,533","60,119,331,300","68,500","70,000","66,900","7,266,184,320,000","0.87","104,399,200","19,843,646","19.01",
27,012330,현대모비스,"80,800","-1,400","-1.7","512,273","41,319,930,100","82,000","82,000","80,200","6,933,607,337,600","0.83","85,811,972","39,083,195","45.55",
28,042660,대우조선해양,"35,850","600","1.7","1,661,927","60,683,660,550","35,850","37,400","35,400","6,861,358,674,300","0.82","191,390,758","67,566,265","35.30",
29,035420,NHN,"141,700","2,200","1.6","175,995","24,865,587,000","139,500","142,100","139,500","6,780,118,138,300","0.81","47,848,399","26,435,665","55.25",
30,010140,삼성중공업,"26,600","-350","-1.3","2,038,762","54,484,764,000","26,750","26,950","26,600","6,141,210,149,200","0.74","230,872,562","80,835,250","35.01",
31,000720,현대건설,"54,500","-1,300","-2.3","589,090","32,426,767,300","56,100","56,100","54,500","6,029,973,740,000","0.72","110,641,720","18,755,502","16.95",
32,003550,LG,"33,300","200","0.6","1,383,677","46,305,223,300","33,350","34,050","33,050","5,746,152,462,300","0.69","172,557,131","51,313,247","29.74",
33,032710,LG카드,"43,750","150","0.3","148,990","6,516,782,250","43,300","44,200","43,100","5,484,911,381,250","0.66","125,369,403","2,073,277","1.65",
34,032390,KTF,"28,000","-400","-1.4","608,702","17,044,589,500","28,400","28,400","27,950","5,479,630,548,000","0.66","195,701,091","44,844,323","22.91",
35,000830,삼성물산,"34,750","-400","-1.1","1,046,648","36,323,102,800","34,800","35,150","34,550","5,428,567,299,000","0.65","156,217,764","37,773,655","24.18",
36,042670,두산인프라코어,"28,300","300","1.1","1,653,870","46,411,922,300","27,700","28,600","27,100","4,758,853,967,200","0.57","168,157,384","24,764,457","14.73",
37,006360,GS건설,"91,500","-4,500","-4.7","557,876","51,343,075,300","95,500","95,600","90,800","4,666,500,000,000","0.56","51,000,000","26,671,664","52.30",
38,000270,기아차,"13,000","-200","-1.5","1,428,004","18,559,288,400","13,200","13,200","12,900","4,513,995,915,000","0.54","347,230,455","87,057,909","25.07",
39,012630,현대산업,"56,300","-1,900","-3.3","326,334","18,342,062,800","57,500","57,900","55,700","4,244,129,334,000","0.51","75,384,180","48,568,344","64.43",
40,035250,강원랜드,"19,200","-300","-1.5","379,894","7,309,411,100","19,400","19,500","19,000","4,107,657,600,000","0.49","213,940,500","74,102,116","34.64",
41,047050,대우인터내셔,"41,850","-900","-2.1","652,372","27,351,940,850","42,500","42,600","41,500","3,975,280,275,600","0.48","94,988,776","2,185,612","2.30",
42,010620,현대미포조선,"187,000","-1,000","-0.5","105,058","19,631,408,000","186,500","189,500","184,000","3,740,000,000,000","0.45","20,000,000","8,051,079","40.26",
43,016360,삼성증권,"53,800","500","0.9","965,433","52,438,203,200","53,500","55,400","53,200","3,595,731,877,000","0.43","66,835,165","21,628,266","32.36",
44,006800,대우증권,"18,850","300","1.6","4,946,718","93,243,495,000","18,650","19,100","18,550","3,583,401,795,350","0.43","190,100,891","14,830,613","7.80",
45,078930,GS,"37,850","-750","-1.9","655,185","24,841,979,150","38,000","38,400","37,600","3,516,847,057,300","0.42","92,915,378","29,576,506","31.83",
46,000210,대림산업,"97,900","-1,000","-1.0","232,396","22,730,863,200","98,000","98,700","97,400","3,406,920,000,000","0.41","34,800,000","17,656,946","50.74",
47,002380,KCC,"319,000","-1,000","-0.3","45,139","14,262,783,000","319,500","319,500","311,500","3,355,880,000,000","0.40","10,520,000","2,387,334","22.69",
