번호,종목코드,종목명,구분,종가,대비,공시일,지정일
1,238490,힘스,소수계좌 매수관여 과다,"17,700",0,"2020/04/09","2020/04/10"
2,000540,흥국화재,소수계좌 매수관여 과다,"2,530",35,"2020/04/09","2020/04/10"
3,090710,휴림로봇,소수계좌 매수관여 과다,"763",-25,"2020/04/09","2020/04/10"
4,298000,효성화학,소수계좌 매수관여 과다,"94,500","-1,300","2020/04/09","2020/04/10"
5,097870,효성오앤비,소수계좌 매수관여 과다,"5,930",-170,"2020/04/09","2020/04/10"
6,064240,홈캐스트,소수계좌 매수관여 과다,"3,370",-185,"2020/04/09","2020/04/10"
7,307950,현대오토에버,소수계좌 매수관여 과다,"38,850",200,"2020/04/09","2020/04/10"
8,011760,현대상사,소수계좌 매수관여 과다,"12,250",-200,"2020/04/09","2020/04/10"
9,170030,현대공업,투자경고 지정예고,"4,305",-35,"2020/04/09","2020/04/10"
10,101530,해태제과식품,소수계좌 매수관여 과다,"6,860",-120,"2020/04/09","2020/04/10"
11,000370,한화손해보험,소수계좌 매수관여 과다,"2,200",110,"2020/04/09","2020/04/10"
12,000370,한화손해보험,투자경고 지정예고,"2,200",110,"2020/04/09","2020/04/10"
13,054920,한컴위드,투자경고 지정예고,"2,480",-65,"2020/04/09","2020/04/10"
14,054920,한컴위드,소수계좌 매수관여 과다,"2,480",-65,"2020/04/09","2020/04/10"
15,005110,한창,소수계좌 매수관여 과다,"2,205",-90,"2020/04/09","2020/04/10"
16,007280,한국특수형강,소수계좌 매수관여 과다,"1,300",40,"2020/04/09","2020/04/10"
17,053590,한국테크놀로지,소수계좌 매수관여 과다,"1,730",60,"2020/04/09","2020/04/10"
18,041460,한국전자인증,투자경고 지정예고,"3,665",25,"2020/04/09","2020/04/10"
19,041460,한국전자인증,소수계좌 매수관여 과다,"3,665",25,"2020/04/09","2020/04/10"
20,57EP56,한국EP56KOSPI200콜,소수지점/계좌,"440",30,"2020/04/09","2020/04/10"
21,064800,필링크,소수계좌 매수관여 과다,"1,040",-55,"2020/04/09","2020/04/10"
22,023770,플레이위드,소수계좌 매수관여 과다,"15,250",-450,"2020/04/09","2020/04/10"
23,016670,포비스티앤씨,투자경고 지정예고,"1,850",-190,"2020/04/09","2020/04/10"
24,001020,페이퍼코리아,투자경고 지정예고,"1,445",-300,"2020/04/09","2020/04/10"
25,049120,파인디앤씨,소수계좌 매수관여 과다,"1,450",40,"2020/04/09","2020/04/10"
26,049120,파인디앤씨,투자경고 지정예고,"1,450",40,"2020/04/09","2020/04/10"
27,170790,파이오링크,투자경고 지정예고,"10,500",-500,"2020/04/09","2020/04/10"
28,170790,파이오링크,소수계좌 매수관여 과다,"10,500",-500,"2020/04/09","2020/04/10"
29,037070,파세코,소수계좌 매수관여 과다,"9,640",-150,"2020/04/09","2020/04/10"
30,037070,파세코,투자경고 지정예고,"9,640",-150,"2020/04/09","2020/04/10"
31,033540,파라텍,투자경고 지정예고,"7,670",-350,"2020/04/09","2020/04/10"
32,033540,파라텍,소수계좌 매수관여 과다,"7,670",-350,"2020/04/09","2020/04/10"
33,030790,티탑스,소수계좌 매수관여 과다,"4,785",-415,"2020/04/09","2020/04/10"
34,131290,티에스이,소수계좌 매수관여 과다,"11,750",-150,"2020/04/09","2020/04/10"
35,322180,티라유텍,소수계좌 매수관여 과다,"11,350",-450,"2020/04/09","2020/04/10"
36,322180,티라유텍,투자경고 지정예고,"11,350",-450,"2020/04/09","2020/04/10"
37,091440,텔레필드,투자경고 지정예고,"3,990",20,"2020/04/09","2020/04/10"
38,091440,텔레필드,소수계좌 매수관여 과다,"3,990",20,"2020/04/09","2020/04/10"
39,124560,태웅로직스,소수계좌 매수관여 과다,"3,970",-80,"2020/04/09","2020/04/10"
40,219130,타이거일렉,소수지점/계좌,"5,950",20,"2020/04/09","2020/04/10"
41,020120,키다리스튜디오,소수계좌 매수관여 과다,"5,550",350,"2020/04/09","2020/04/10"
42,020120,키다리스튜디오,투자경고 지정예고,"5,550",350,"2020/04/09","2020/04/10"
43,139670,키네마스터,소수계좌 매수관여 과다,"11,350",-250,"2020/04/09","2020/04/10"
44,139670,키네마스터,투자경고 지정예고,"11,350",-250,"2020/04/09","2020/04/10"
45,182360,큐브엔터,소수계좌 매수관여 과다,"3,235",220,"2020/04/09","2020/04/10"
