번호,회사명,종목코드,지정일,지정사유,비고
1,코센,A009730,20200410,계속기업 불확실성에 의한 한정 등,-
2,퓨전,A195440,20200407,내부회계관리제도 비적정 등,-
3,강원,A114190,20200406,내부회계관리제도 비적정 등,-
4,엘아이에스,A138690,20200406,내부회계관리제도 비적정 등,-
5,현진소재,A053660,20200403,내부회계관리제도 비적정 등,-
6,에스디시스템,A121890,20200403,내부회계관리제도 비적정 등,-
7,행남사,A008800,20200402,내부회계관리제도 비적정 등,-
8,뉴로스,A126870,20200331,내부회계관리제도 비적정 등,-
9,디에스티,A033430,20200330,내부회계관리제도 비적정 등,-
10,제낙스,A065620,20200330,내부회계관리제도 비적정 등,-
11,와이오엠,A066430,20200330,내부회계관리제도 비적정 등,-
12,에스제이케이,A080440,20200330,내부회계관리제도 비적정 등,-
13,세미콘라이트,A214310,20200330,내부회계관리제도 비적정 등,-
14,아리온,A058220,20200327,내부회계관리제도 비적정 등,-
15,럭슬,A033600,20200325,내부회계관리제도 비적정 등,-
16,미래SCI,A028040,20200324,내부회계관리제도 비적정 등,-
17,팍스넷,A038160,20200324,내부회계관리제도 비적정 등,-
18,한국코퍼레이션,A050540,20200324,내부회계관리제도 비적정 등,-
19,이에스에이,A052190,20200324,내부회계관리제도 비적정 등,-
20,에스아이리소스,A065420,20200324,내부회계관리제도 비적정 등,-
21,에스모,A073070,20200324,내부회계관리제도 비적정 등,-
22,엔시트론,A101400,20200324,내부회계관리제도 비적정 등,-
23,지스마트글로벌,A114570,20200324,내부회계관리제도 비적정 등,-
24,에이치엔티,A176440,20200324,내부회계관리제도 비적정 등,-
25,더블유에프엠,A035290,20200323,내부회계관리제도 비적정 등,-
26,서희건설,A035890,20200323,내부회계관리제도 비적정 등,-
27,에이아이비트,A039230,20200323,내부회계관리제도 비적정 등,-
28,센트럴바이오,A051980,20200323,내부회계관리제도 비적정 등,-
29,멜파스,A096640,20200323,내부회계관리제도 비적정 등,-
30,에스엔텍비엠,A160600,20200323,내부회계관리제도 비적정 등,-
31,샘코,A263540,20200323,내부회계관리제도 비적정 등,-
32,메디앙스,A014100,20200320,내부회계관리제도 비적정 등,-
33,에이프런티어,A036180,20200320,내부회계관리제도 비적정 등,-
34,이매진아시아,A036260,20200320,내부회계관리제도 비적정 등,-
35,마크로젠,A038290,20200320,내부회계관리제도 비적정 등,-
36,셀루메드,A049180,20200320,내부회계관리제도 비적정 등,-
37,코나아이,A052400,20200320,내부회계관리제도 비적정 등,-
38,한국테크놀로지,A053590,20200320,내부회계관리제도 비적정 등,-
39,서호전기,A065710,20200320,내부회계관리제도 비적정 등,-
40,젬백스,A082270,20200320,내부회계관리제도 비적정 등,-
41,한일진공,A123840,20200319,내부회계관리제도 비적정 등,-
42,포티스,A141020,20200318,내부회계관리제도 비적정 등,-
43,코오롱티슈진,A950160,20200317,"내부회계관리제도 비적정 등,기타투자주의환기종목지정 등",-
44,아이에이네트웍스,A123010,20200312,내부회계관리제도 비적정 등,-
45,양지사,A030960,20190925,내부회계관리제도 비적정 등,-
46,비츠로시스,A054220,20190702,내부회계관리제도 비적정 등,-
47,한류타임즈,A039670,20190624,내부회계관리제도 비적정 등,-
48,에이앤티앤,A050320,20190502,"기업부실위험 선정기준 해당 등,내부회계관리제도 비적정 등",-
49,스타모빌리티,A158310,20190502,"내부회계관리제도 비적정 등,기업부실위험 선정기준 해당 등",-
